Date,Team,avg_goals_for,avg_goals_against,avg_match_points
,Brentford,1.6666666666666667,1.0,2.0
,Man United,1.6666666666666667,0.6666666666666666,2.3333333333333335
,Crystal Palace,1.3333333333333333,1.3333333333333333,1.3333333333333333
,Aston Villa,0.6666666666666666,1.0,0.6666666666666666
,Everton,1.0,1.0,1.0
,Arsenal,1.0,2.3333333333333335,0.3333333333333333
,Leeds,1.0,3.0,0.0
,Southampton,1.6666666666666667,3.0,0.3333333333333333
,Leicester,0.6666666666666666,1.3333333333333333,0.6666666666666666
,Chelsea,0.3333333333333333,2.3333333333333335,0.0
,Wolves,0.0,4.333333333333333,0.0
,Brighton,1.6666666666666667,2.0,1.0
,Man City,1.3333333333333333,0.6666666666666666,1.3333333333333333
,Newcastle,2.3333333333333335,1.3333333333333333,1.6666666666666667
,Nottingham,1.3333333333333333,1.6666666666666667,0.6666666666666666
,Bournemouth,0.3333333333333333,1.0,1.0
,Tottenham,2.6666666666666665,2.3333333333333335,1.0
,West Ham,1.3333333333333333,2.6666666666666665,0.0
,Fulham,1.0,1.0,1.0
,Liverpool,3.0,1.6666666666666667,2.3333333333333335
